"ID No.",""
"Title",""
"Test Date","2023/10/04","10:09:53"
"MEAS CHs",1
"Digital Input","OFF"
"Sampling Rate(Hz)",2000
"Data Nos/CH",20500
"MEAS Time(sec)",10.25
"CH Name","AS-5GB"
"CH No.","CH1"
"Range",10000
"Calibration Coefficient",0.04055
"Offset",0
"Unit","m/s2"
0.0000,0.0731058571428571
0.0005,0.0568279285714286
0.0010,0.0464007857142857
0.0015,0.0494130714285714
0.0020,0.0327875714285714
0.0025,0.0313393571428571
0.0030,0.0388700714285714
0.0035,0.0229397142857143
0.0040,0.0267050714285714
0.0045,0.0285587857142857
0.0050,0.0260099285714286
0.0055,0.0256623571428571
0.0060,0.0357998571428571
0.0065,0.0386383571428571
0.0070,0.0525991428571429
0.0075,0.0586237142857143
0.0080,0.0636635
0.0085,0.0492392857142857
0.0090,0.0611146428571429
0.0095,0.0556114285714286
0.0100,0.0564803571428571
0.0105,0.0476752142857143
0.0110,0.0448946428571429
0.0115,0.0477331428571429
0.0120,0.0436781428571429
0.0125,0.0525412142857143
0.0130,0.0515564285714286
0.0135,0.0424037142857143
0.0140,0.0458794285714286
0.0145,0.0658647857142857
0.0150,0.0620994285714286
0.0155,0.0590292142857143
0.0160,0.0386383571428571
0.0165,0.055148
0.0170,0.0424037142857143
0.0175,0.0442574285714286
0.0180,0.0382907857142857
0.0185,0.0448367142857143
0.0190,0.0383487142857143
0.0195,0.0327875714285714
0.0200,0.0317448571428571
0.0205,0.0266471428571429
0.0210,0.0442574285714286
0.0215,0.0472697142857143
0.0220,0.0516143571428571
0.0225,0.0506295714285714
0.0230,0.0512088571428571
0.0235,0.0625628571428571
0.0240,0.0488337857142857
0.0245,0.0640110714285714
0.0250,0.0441415714285714
0.0255,0.0365529285714286
0.0260,0.0255465
0.0265,0.0112381428571429
0.0270,0.0253727142857143
0.0275,0.0344095714285714
0.0280,0.0351626428571429
0.0285,0.0371901428571429
0.0290,0.0459373571428571
0.0295,0.0323820714285714
0.0300,0.0403762142857143
0.0305,0.0424037142857143
0.0310,0.038117
0.0315,0.0458215
0.0320,0.044605
0.0325,0.0378852857142857
0.0330,0.0428092142857143
0.0335,0.0416506428571429
0.0340,0.0353943571428571
0.0345,0.0404341428571429
0.0350,0.0392755714285714
0.0355,0.0524253571428571
0.0360,0.0564224285714286
0.0365,0.0443732857142857
0.0370,0.0528887857142857
0.0375,0.0627366428571429
0.0380,0.0596085
0.0385,0.0499923571428571
0.0390,0.0609987857142857
0.0395,0.0529467142857143
0.0400,0.047038
0.0405,0.0542790714285714
0.0410,0.0719472857142857
0.0415,0.0649958571428571
0.0420,0.0507454285714286
0.0425,0.0669654285714286
0.0430,0.0633738571428571
0.0435,0.0681819285714286
0.0440,0.0576389285714286
0.0445,0.0625628571428571
0.0450,0.0658647857142857
0.0455,0.0553797142857143
0.0460,0.0568858571428571
0.0465,0.0410713571428571
0.0470,0.0313393571428571
0.0475,0.0340040714285714
0.0480,0.0286746428571429
0.0485,0.0272264285714286
0.0490,0.0451263571428571
0.0495,0.0480807142857143
0.0500,0.0539894285714286
0.0505,0.0426933571428571
0.0510,0.0480807142857143
0.0515,0.0406079285714286
0.0520,0.0366108571428571
0.0525,0.045416
0.0530,0.0430988571428571
0.0535,0.0545687142857143
0.0540,0.0428092142857143
0.0545,0.0488337857142857
0.0550,0.0475014285714286
0.0555,0.0360315714285714
0.0560,0.0486020714285714
0.0565,0.0399127857142857
0.0570,0.0233452142857143
0.0575,0.0357998571428571
0.0580,0.030818
0.0585,0.0306442142857143
0.0590,0.0179578571428571
0.0595,0.0256044285714286
0.0600,0.0188847142857143
0.0605,0.0126284285714286
0.0610,0.0177261428571429
0.0615,0.0241562142857143
0.0620,0.0369005
0.0625,0.0321503571428571
0.0630,0.0424616428571429
0.0635,0.0569437857142857
0.0640,0.0610567142857143
0.0645,0.0735113571428571
0.0650,0.0732796428571429
0.0655,0.0766974285714286
